id,location,lon,lat
PST03N,Przy sklepie budowlanym,20.8538452,52.1906186
PST04M,Na przeciwko Jubilera,20.8395339,52.1897183
PST03M,Obok sklepu MokPol,20.8388401,52.1861445
PST01M,Przy PPUK Piastów,20.8516052,52.1790419
